hour_local,gtilt_Wm2,pv_only_cell_C,pvt_cell_C,pv_only_ac_kWh,pvt_ac_kWh
1,0.00,20.83,20.83,0.0000,0.0000
2,0.00,20.40,20.40,0.0000,0.0000
3,0.00,19.73,19.73,0.0000,0.0000
4,0.00,19.52,19.52,0.0000,0.0000
5,0.00,18.91,18.91,0.0000,0.0000
6,0.00,18.62,18.62,0.0000,0.0000
7,0.00,18.71,18.71,0.0000,0.0000
8,56.60,21.24,21.24,0.1900,0.1900
9,334.87,30.30,25.04,1.0800,1.1100
10,592.34,40.71,26.72,1.8300,1.9400
11,812.14,48.57,28.24,2.4300,2.6500
12,974.58,55.24,29.21,2.8300,3.1600
13,1064.41,58.81,29.91,3.0400,3.4500
14,1076.03,59.42,30.80,3.0600,3.4700
15,1009.54,57.26,31.16,2.9000,3.2500
16,872.39,52.94,31.06,2.5600,2.8100
17,675.08,46.59,29.78,2.0400,2.1900
18,444.40,38.11,27.32,1.3900,1.4500
19,212.48,30.63,24.90,0.6900,0.7000
20,37.55,24.72,23.20,0.1200,0.1200
21,0.05,23.51,23.51,0.0000,0.0000
22,0.00,22.40,22.40,0.0000,0.0000
23,0.00,22.09,22.09,0.0000,0.0000
24,0.00,21.49,21.49,0.0000,0.0000
