dayN,hourN,gtilt_Wm2,eta_th,pvt_dc_kWh,pvt_ac_kWh,pv_only_dc_kWh,pv_only_ac_kWh,th_kWh,totalFlow_kg_hr,Tin_C,Tout_C,pv_panel_C,pvt_panel_C,pv_factor,pvt_factor,ac_delivery_factor,daytime_temp_sample
1,12,874.77,0.25,3.42,2.82,3.13,2.58,4.46,1440.00,22.72,25.38,51.70,30.53,0.8932,0.9779,0.8256,1
1,13,901.04,0.25,3.52,2.91,3.21,2.65,4.57,1440.00,22.72,25.45,52.47,30.78,0.8901,0.9769,0.8256,1
1,14,852.19,0.25,3.34,2.75,3.06,2.52,4.32,1440.00,22.72,25.30,50.88,30.35,0.8965,0.9786,0.8256,1
1,15,790.89,0.25,3.10,2.56,2.86,2.36,4.02,1440.00,22.72,25.12,48.91,29.81,0.9044,0.9808,0.8256,1
1,16,565.00,0.26,2.23,1.85,2.11,1.74,2.95,1440.00,22.72,24.48,41.80,27.79,0.9328,0.9888,0.8256,1
1,17,466.56,0.27,1.85,1.53,1.76,1.46,2.47,1440.00,22.72,24.20,38.66,26.91,0.9454,0.9924,0.8256,1
1,18,315.54,0.28,1.26,1.04,1.22,1.01,1.75,1440.00,22.72,23.77,33.88,25.56,0.9645,0.9978,0.8256,0
1,19,131.34,0.33,0.53,0.44,0.52,0.43,0.88,1440.00,22.72,23.25,28.07,23.90,0.9877,1.0044,0.8256,0
1,20,28.23,0.30,0.11,0.09,0.11,0.09,0.17,1440.00,22.72,22.82,23.74,22.95,1.0050,1.0082,0.8256,0
1,21,0.09,1.00,0.00,0.00,0.00,0.00,0.00,1440.00,22.72,22.72,22.93,22.92,1.0083,1.0083,0.8256,0
1,22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,22.72,,22.07,22.07,1.0117,1.0117,0.8256,0
1,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,22.72,,21.90,21.90,1.0124,1.0124,0.8256,0
1,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,22.72,,21.59,21.59,1.0136,1.0136,0.8256,0
2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,22.74,,21.55,21.55,1.0138,1.0138,0.8256,0
2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,22.74,,21.40,21.40,1.0144,1.0144,0.8256,0
2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,22.74,,21.04,21.04,1.0158,1.0158,0.8256,0
2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,22.74,,20.96,20.96,1.0162,1.0162,0.8256,0
2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,22.74,,20.79,20.79,1.0168,1.0168,0.8256,0
2,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,22.74,,20.58,20.58,1.0177,1.0177,0.8256,0
2,7,31.56,0.00,0.13,0.11,0.13,0.11,0.00,,22.74,,21.55,21.55,1.0138,1.0138,0.8256,0
2,8,74.25,0.00,0.30,0.25,0.30,0.25,0.00,1440.00,22.74,22.74,23.28,23.27,1.0069,1.0069,0.8256,0
2,9,285.72,0.19,1.14,0.94,1.12,0.92,1.11,1440.00,22.74,23.40,29.95,24.70,0.9802,1.0012,0.8256,0
2,10,446.31,0.25,1.78,1.47,1.71,1.41,2.20,1440.00,22.74,24.06,36.21,25.75,0.9552,0.9970,0.8256,0
