zone_city,month,cer_reference_C,bcaus_model_C,residual_C
Rockhampton,Jan,28,28.997611853300395,0.998
Rockhampton,Feb,28,28.17979982361299,0.180
Rockhampton,Mar,27,26.45601900107603,-0.544
Rockhampton,Apr,25,24.29686266508735,-0.703
Rockhampton,May,23,22.282200122908645,-0.718
Rockhampton,Jun,20,20.95039242211558,0.950
Rockhampton,Jul,20,20.66947196738545,0.669
Rockhampton,Aug,21,21.506567684878313,0.507
Rockhampton,Sep,24,23.208412631386828,-0.792
Rockhampton,Oct,26,25.36867215859322,-0.631
Rockhampton,Nov,28,27.38487313673776,-0.615
Rockhampton,Dec,28,28.69911650355084,0.699
Alice Springs,Jan,29,29.53339323348523,0.533
Alice Springs,Feb,27,27.520737916692458,0.521
Alice Springs,Mar,24,23.49439256924755,-0.506
Alice Springs,Apr,20,18.55256090623844,-1.447
Alice Springs,May,14,14.023226924458447,0.023
Alice Springs,Jun,11,11.115877760587605,0.116
Alice Springs,Jul,9,10.635906226090556,1.636
Alice Springs,Aug,12,12.691917927665388,0.692
Alice Springs,Sep,18,16.66625432490159,-1.334
Alice Springs,Oct,23,21.609997841270996,-1.390
Alice Springs,Nov,26,26.14311340963528,0.143
Alice Springs,Dec,28,29.01262095533594,1.013
Sydney,Jan,23,23.694795694568707,0.695
Sydney,Feb,23,22.859443153252936,-0.141
Sydney,Mar,21,20.618739549741328,-0.381
Sydney,Apr,18,17.586601592703914,-0.413
Sydney,May,15,14.57559014923533,-0.424
Sydney,Jun,12,12.392197141956164,0.392
Sydney,Jul,11,11.635393570436687,0.635
Sydney,Aug,12,12.499559659100349,0.500
Sydney,Sep,15,14.713465140071412,-0.287
Sydney,Oct,19,17.74851514525407,-1.251
Sydney,Nov,21,20.76110811671783,-0.239
Sydney,Dec,22,22.914591069477947,0.915
Melbourne,Jan,20,20.38398409168003,0.384
Melbourne,Feb,20,19.6085740862758,-0.391
Melbourne,Mar,18,17.450650218642817,-0.549
Melbourne,Apr,15,14.501730266292586,-0.498
Melbourne,May,11,11.551866162937749,0.552
Melbourne,Jun,9,9.391381065462861,0.391
Melbourne,Jul,8,8.61251719255696,0.613
Melbourne,Aug,10,9.41615483992734,-0.584
Melbourne,Sep,12,11.548489745600168,-0.452
Melbourne,Oct,15,14.50040293503556,-0.500
Melbourne,Nov,17,17.451736721240042,0.452
Melbourne,Dec,19,19.582512694041206,0.583
