zone_city,month,energyplus_0p5m_C,energyplus_2p0m_C,bcaus_model_C
Rockhampton,Jan,26.8,25.6,29.11836716645987
Rockhampton,Feb,25.9,25.4,28.359607136997365
Rockhampton,Mar,24.2,24.4,26.76029587693313
Rockhampton,Apr,22.6,23.3,24.757046394610015
Rockhampton,May,19.6,21,22.8878571990869
Rockhampton,Jun,18.1,19.6,21.65221573918027
Rockhampton,Jul,17.7,18.9,21.39157979256902
Rockhampton,Aug,18.5,19,22.168231086767513
Rockhampton,Sep,20.3,20.1,23.74719040122881
Rockhampton,Oct,22.6,21.7,25.75146341630821
Rockhampton,Nov,24.9,23.5,27.622079961486726
Rockhampton,Dec,26.4,24.9,28.841425360581866
Alice Springs,Jan,29.5,27.4,31.89642021893251
Alice Springs,Feb,28,27.1,29.758332364155027
Alice Springs,Mar,25,25.4,25.48105745538922
Alice Springs,Apr,22.3,23.5,20.231241368712237
Alice Springs,May,17.1,19.6,15.41963060959491
Alice Springs,Jun,14.4,17,12.331089871891542
Alice Springs,Jul,13.7,15.8,11.821205591168118
Alice Springs,Aug,15.1,16.1,14.005351883749706
Alice Springs,Sep,18.4,17.9,18.227376544818775
Alice Springs,Oct,22.3,20.7,23.47922363522286
Alice Springs,Nov,26.2,23.8,28.294851656650415
Alice Springs,Dec,28.8,26.2,31.34319241398968
Sydney,Jan,22.2,20.7,22.99749964447126
Sydney,Feb,22.5,21.4,22.297834800322335
Sydney,Mar,21.7,21.2,20.421092395175002
Sydney,Apr,20.6,20.6,17.881469629669215
Sydney,May,17.6,18.6,15.359541763134187
Sydney,Jun,15.4,16.8,13.530800899130066
Sydney,Jul,13.9,15.4,12.896926185485814
Sydney,Aug,13.5,14.7,13.620724344753155
Sydney,Sep,14.4,14.9,15.47502149079913
Sydney,Oct,16.2,15.9,18.0170832956457
Sydney,Nov,18.5,17.6,20.540335799963618
Sydney,Dec,20.7,19.3,22.344024949154505
Melbourne,Jan,18,17.4,18.90648228705256
Melbourne,Feb,16,16.3,18.251388827724604
Melbourne,Mar,13.7,14.7,16.428299363361646
Melbourne,Apr,11.9,13.3,13.93694877541136
Melbourne,May,9.6,11.2,11.444800535711126
Melbourne,Jun,9.2,10.4,9.619547254908383
Melbourne,Jul,10,10.6,8.961535847663887
Melbourne,Aug,12,11.8,9.64047700497795
Melbourne,Sep,14.6,13.6,11.44194802039872
Melbourne,Oct,16.9,15.4,13.93582739959885
Melbourne,Nov,18.6,17,16.429217278709697
Melbourne,Dec,19,17.7,18.229371253183555
