day_of_year,mains_C
1,24.313480
2,24.342611
3,24.370814
4,24.398080
5,24.424401
6,24.449770
7,24.474179
8,24.497620
9,24.520086
10,24.541572
11,24.562070
12,24.581575
13,24.600081
14,24.617582
15,24.634073
16,24.649550
17,24.664007
18,24.677441
19,24.689847
20,24.701221
21,24.711561
22,24.720864
23,24.729126
24,24.736345
25,24.742518
26,24.747646
27,24.751724
28,24.754753
29,24.756732
30,24.757660
31,24.757536
32,24.756361
33,24.754135
34,24.750858
35,24.746533
36,24.741159
37,24.734739
38,24.727274
39,24.718767
40,24.709220
41,24.698636
42,24.687018
43,24.674370
44,24.660695
45,24.645998
46,24.630282
47,24.613553
48,24.595814
49,24.577073
50,24.557334
51,24.536602
52,24.514885
53,24.492188
54,24.468519
55,24.443883
56,24.418290
57,24.391745
58,24.364258
59,24.335836
60,24.306487
61,24.276221
62,24.245045
63,24.212971
64,24.180006
65,24.146161
66,24.111445
67,24.075870
68,24.039445
69,24.002182
70,23.964091
71,23.925183
72,23.885471
73,23.844966
74,23.803680
75,23.761625
76,23.718813
77,23.675258
78,23.630972
79,23.585968
80,23.540260
81,23.493861
82,23.446785
83,23.399046
84,23.350658
85,23.301635
86,23.251992
87,23.201744
88,23.150905
89,23.099490
90,23.047516
91,22.994996
92,22.941947
93,22.888384
94,22.834324
95,22.779781
96,22.724774
97,22.669316
98,22.613426
99,22.557120
100,22.500414
101,22.443325
102,22.385870
103,22.328066
104,22.269930
105,22.211480
106,22.152732
107,22.093704
108,22.034414
109,21.974879
110,21.915117
111,21.855145
112,21.794981
113,21.734644
114,21.674150
115,21.613518
116,21.552766
117,21.491912
118,21.430973
119,21.369969
120,21.308916
121,21.247833
122,21.186738
123,21.125649
124,21.064585
125,21.003563
126,20.942601
127,20.881718
128,20.820931
129,20.760259
130,20.699719
131,20.639329
132,20.579108
133,20.519073
134,20.459241
135,20.399632
136,20.340261
137,20.281148
138,20.222308
139,20.163761
140,20.105522
141,20.047610
142,19.990042
143,19.932833
144,19.876003
145,19.819567
146,19.763541
147,19.707944
148,19.652790
149,19.598097
150,19.543880
151,19.490156
152,19.436941
153,19.384250
154,19.332099
155,19.280503
156,19.229478
157,19.179039
158,19.129201
159,19.079978
160,19.031385
161,18.983436
162,18.936146
163,18.889529
164,18.843598
165,18.798367
166,18.753850
167,18.710059
168,18.667008
169,18.624709
170,18.583175
171,18.542418
172,18.502451
173,18.463285
174,18.424931
175,18.387401
176,18.350706
177,18.314858
178,18.279866
179,18.245741
180,18.212493
181,18.180132
182,18.148668
183,18.118109
184,18.085216
185,18.056599
186,18.028916
187,18.002174
188,17.976381
189,17.951545
190,17.927673
191,17.904773
192,17.882851
193,17.861913
194,17.841966
195,17.823016
196,17.805068
197,17.788127
198,17.772199
199,17.757289
200,17.743400
201,17.730537
202,17.718704
203,17.707904
204,17.698140
205,17.689416
206,17.681733
207,17.675095
208,17.669503
209,17.664958
210,17.661463
211,17.659017
212,17.657623
213,17.657279
214,17.657987
215,17.659747
216,17.662557
217,17.666416
218,17.671325
219,17.677280
220,17.684281
221,17.692325
222,17.701411
223,17.711534
224,17.722693
225,17.734884
226,17.748104
227,17.762347
228,17.777611
229,17.793891
230,17.811182
231,17.829478
232,17.848775
233,17.869066
234,17.890347
235,17.912609
236,17.935847
237,17.960054
238,17.985223
239,18.011346
240,18.038416
241,18.066424
242,18.095362
243,18.125222
244,18.155994
245,18.187671
246,18.220241
247,18.253697
248,18.288027
249,18.323221
250,18.359270
251,18.396162
252,18.433887
253,18.472433
254,18.511789
255,18.551944
256,18.592884
257,18.634600
258,18.677077
259,18.720303
260,18.764266
261,18.808953
262,18.854349
263,18.900443
264,18.947220
265,18.994666
266,19.042768
267,19.091510
268,19.140880
269,19.190861
270,19.241440
271,19.292600
272,19.344328
273,19.396608
274,19.449423
275,19.502760
276,19.556601
277,19.610931
278,19.665734
279,19.720994
280,19.776694
281,19.832817
282,19.889348
283,19.946269
284,20.003564
285,20.061215
286,20.119205
287,20.177518
288,20.236136
289,20.295041
290,20.354217
291,20.413645
292,20.473309
293,20.533190
294,20.593270
295,20.653533
296,20.713959
297,20.774532
298,20.835233
299,20.896044
300,20.956947
301,21.017925
302,21.078959
303,21.140030
304,21.201122
305,21.262216
306,21.323293
307,21.384336
308,21.445327
309,21.506248
310,21.567080
311,21.627805
312,21.688406
313,21.748864
314,21.809163
315,21.869283
316,21.929207
317,21.988917
318,22.048396
319,22.107626
320,22.166589
321,22.225268
322,22.283646
323,22.341706
324,22.399429
325,22.456799
326,22.513800
327,22.570413
328,22.626623
329,22.682413
330,22.737766
331,22.792665
332,22.847095
333,22.901040
334,22.954483
335,23.007409
336,23.059802
337,23.111646
338,23.162927
339,23.213628
340,23.263735
341,23.313233
342,23.362108
343,23.410345
344,23.457929
345,23.504847
346,23.551084
347,23.596628
348,23.641464
349,23.685579
350,23.728960
351,23.771595
352,23.813470
353,23.854573
354,23.894893
355,23.934417
356,23.973133
357,24.011030
358,24.048097
359,24.084323
360,24.119696
361,24.154208
362,24.187847
363,24.220603
364,24.252466
365,24.283429
