day_of_year,mains_C
1,23.578853
2,23.603857
3,23.627102
4,23.648582
5,23.668290
6,23.686219
7,23.702366
8,23.716724
9,23.729290
10,23.740060
11,23.749031
12,23.756201
13,23.761566
14,23.765126
15,23.766879
16,23.766825
17,23.764964
18,23.761296
19,23.755823
20,23.748546
21,23.739468
22,23.728590
23,23.715917
24,23.701452
25,23.685199
26,23.667163
27,23.647349
28,23.625764
29,23.602414
30,23.577305
31,23.550445
32,23.521842
33,23.491504
34,23.459441
35,23.425662
36,23.390177
37,23.352997
38,23.314131
39,23.273593
40,23.231394
41,23.187546
42,23.142063
43,23.094957
44,23.046244
45,22.995937
46,22.944051
47,22.890601
48,22.835604
49,22.779076
50,22.721033
51,22.661493
52,22.600473
53,22.537991
54,22.474066
55,22.408717
56,22.341963
57,22.273824
58,22.204319
59,22.133471
60,22.061299
61,21.987825
62,21.913071
63,21.837059
64,21.759811
65,21.681350
66,21.601700
67,21.520884
68,21.438926
69,21.355850
70,21.271681
71,21.186444
72,21.100164
73,21.012867
74,20.924578
75,20.835324
76,20.745131
77,20.654025
78,20.562035
79,20.469186
80,20.375507
81,20.281025
82,20.185768
83,20.089765
84,19.993043
85,19.895632
86,19.797560
87,19.698857
88,19.599551
89,19.499672
90,19.399250
91,19.298314
92,19.196895
93,19.095021
94,18.992724
95,18.890034
96,18.786981
97,18.683596
98,18.579908
99,18.475950
100,18.371752
101,18.267344
102,18.162758
103,18.058024
104,17.953173
105,17.848238
106,17.743248
107,17.638234
108,17.533229
109,17.428262
110,17.323366
111,17.218570
112,17.113907
113,17.009406
114,16.905100
115,16.801019
116,16.697193
117,16.593654
118,16.490433
119,16.387559
120,16.285063
121,16.182975
122,16.081327
123,15.980147
124,15.879467
125,15.779315
126,15.679721
127,15.580715
128,15.482326
129,15.384584
130,15.287517
131,15.191153
132,15.095523
133,15.000653
134,14.906572
135,14.813308
136,14.720888
137,14.629340
138,14.538691
139,14.448968
140,14.360197
141,14.272404
142,14.185616
143,14.099859
144,14.015157
145,13.931536
146,13.849020
147,13.767635
148,13.687403
149,13.608350
150,13.530497
151,13.453869
152,13.378488
153,13.304376
154,13.231556
155,13.160048
156,13.089874
157,13.021056
158,12.953612
159,12.887563
160,12.822929
161,12.759729
162,12.697982
163,12.637705
164,12.578917
165,12.521636
166,12.465877
167,12.411658
168,12.358994
169,12.307902
170,12.258396
171,12.210491
172,12.164201
173,12.119540
174,12.076522
175,12.035158
176,11.995461
177,11.957444
178,11.921116
179,11.886489
180,11.853574
181,11.822379
182,11.792915
183,11.765189
184,11.736421
185,11.712394
186,11.690129
187,11.669633
188,11.650913
189,11.633974
190,11.618821
191,11.605458
192,11.593890
193,11.584119
194,11.576149
195,11.569982
196,11.565620
197,11.563064
198,11.562316
199,11.563374
200,11.566239
201,11.570910
202,11.577386
203,11.585665
204,11.595743
205,11.607619
206,11.621289
207,11.636748
208,11.653993
209,11.673018
210,11.693817
211,11.716384
212,11.740712
213,11.766795
214,11.794625
215,11.824193
216,11.855491
217,11.888509
218,11.923237
219,11.959666
220,11.997784
221,12.037581
222,12.079044
223,12.122161
224,12.166919
225,12.213306
226,12.261307
227,12.310908
228,12.362094
229,12.414851
230,12.469163
231,12.525013
232,12.582385
233,12.641262
234,12.701627
235,12.763462
236,12.826748
237,12.891467
238,12.957599
239,13.025126
240,13.094026
241,13.164280
242,13.235867
243,13.308765
244,13.382953
245,13.458409
246,13.535111
247,13.613036
248,13.692160
249,13.772461
250,13.853915
251,13.936497
252,14.020184
253,14.104949
254,14.190769
255,14.277617
256,14.365469
257,14.454298
258,14.544077
259,14.634780
260,14.726381
261,14.818852
262,14.912166
263,15.006295
264,15.101211
265,15.196886
266,15.293292
267,15.390400
268,15.488182
269,15.586609
270,15.685650
271,15.785278
272,15.885463
273,15.986174
274,16.087382
275,16.189058
276,16.291171
277,16.393690
278,16.496585
279,16.599827
280,16.703384
281,16.807226
282,16.911321
283,17.015640
284,17.120151
285,17.224823
286,17.329625
287,17.434527
288,17.539497
289,17.644504
290,17.749516
291,17.854504
292,17.959436
293,18.064280
294,18.169006
295,18.273582
296,18.377979
297,18.482164
298,18.586106
299,18.689776
300,18.793143
301,18.896175
302,18.998843
303,19.101115
304,19.202963
305,19.304354
306,19.405260
307,19.505651
308,19.605496
309,19.704767
310,19.803433
311,19.901466
312,19.998837
313,20.095516
314,20.191476
315,20.286687
316,20.381122
317,20.474753
318,20.567551
319,20.659490
320,20.750541
321,20.840679
322,20.929876
323,21.018107
324,21.105344
325,21.191562
326,21.276736
327,21.360841
328,21.443850
329,21.525741
330,21.606488
331,21.686068
332,21.764457
333,21.841631
334,21.917569
335,21.992247
336,22.065644
337,22.137738
338,22.208507
339,22.277930
340,22.345987
341,22.412658
342,22.477922
343,22.541762
344,22.604157
345,22.665089
346,22.724540
347,22.782493
348,22.838931
349,22.893836
350,22.947192
351,22.998985
352,23.049197
353,23.097815
354,23.144824
355,23.190210
356,23.233960
357,23.276060
358,23.316499
359,23.355264
360,23.392343
361,23.427727
362,23.461404
363,23.493364
364,23.523598
365,23.552097
